,time,rain_sum,precipitation_hours,city
0,2024-01-01,8.3,8.0,london
1,2024-01-02,9.6,11.0,london
2,2024-01-03,2.3,6.0,london
3,2024-01-04,27.7,8.0,london
4,2024-01-05,4.6,8.0,london
5,2024-01-06,0.2,2.0,london
6,2024-01-07,0.0,0.0,london
7,2024-01-08,0.4,4.0,london
8,2024-01-09,0.0,0.0,london
9,2024-01-10,0.0,0.0,london
10,2024-01-11,0.0,0.0,london
11,2024-01-12,0.0,0.0,london
12,2024-01-13,0.0,0.0,london
13,2024-01-14,1.6,8.0,london
14,2024-01-15,0.0,0.0,london
15,2024-01-16,0.0,0.0,london
16,2024-01-17,0.0,0.0,london
17,2024-01-18,0.0,0.0,london
18,2024-01-19,0.0,0.0,london
19,2024-01-20,0.0,0.0,london
20,2024-01-21,1.3,5.0,london
21,2024-01-22,6.0,7.0,london
22,2024-01-23,2.9,9.0,london
23,2024-01-24,0.1,1.0,london
24,2024-01-25,0.1,1.0,london
25,2024-01-26,1.6,4.0,london
26,2024-01-27,0.0,0.0,london
27,2024-01-28,0.0,0.0,london
28,2024-01-29,0.0,0.0,london
29,2024-01-30,0.0,0.0,london
30,2024-01-31,0.4,2.0,london
31,2024-02-01,0.2,2.0,london
32,2024-02-02,0.0,0.0,london
33,2024-02-03,0.7,1.0,london
34,2024-02-04,0.1,1.0,london
35,2024-02-05,0.0,0.0,london
36,2024-02-06,5.8,10.0,london
37,2024-02-07,12.3,7.0,london
38,2024-02-08,16.1,18.0,london
39,2024-02-09,7.0,13.0,london
40,2024-02-10,3.3,9.0,london
41,2024-02-11,7.3,10.0,london
42,2024-02-12,0.0,0.0,london
43,2024-02-13,2.6,7.0,london
44,2024-02-14,2.2,5.0,london
45,2024-02-15,1.1,5.0,london
46,2024-02-16,2.0,5.0,london
47,2024-02-17,0.7,4.0,london
48,2024-02-18,13.2,15.0,london
49,2024-02-19,2.2,4.0,london
50,2024-02-20,0.1,1.0,london
51,2024-02-21,3.5,12.0,london
52,2024-02-22,11.5,10.0,london
53,2024-02-23,1.5,5.0,london
54,2024-02-24,1.6,6.0,london
55,2024-02-25,2.9,8.0,london
56,2024-02-26,1.4,4.0,london
57,2024-02-27,0.5,1.0,london
58,2024-02-28,1.3,7.0,london
59,2024-02-29,8.3,15.0,london
60,2024-03-01,6.5,9.0,london
61,2024-03-02,2.2,11.0,london
62,2024-03-03,0.0,0.0,london
63,2024-03-04,1.0,5.0,london
64,2024-03-05,1.9,8.0,london
65,2024-03-06,0.0,0.0,london
66,2024-03-07,0.3,3.0,london
67,2024-03-08,0.0,0.0,london
68,2024-03-09,0.4,2.0,london
69,2024-03-10,8.5,20.0,london
70,2024-03-11,2.0,7.0,london
71,2024-03-12,13.3,11.0,london
72,2024-03-13,0.5,4.0,london
73,2024-03-14,1.2,5.0,london
74,2024-03-15,1.3,8.0,london
75,2024-03-16,1.3,3.0,london
76,2024-03-17,6.4,9.0,london
77,2024-03-18,0.2,2.0,london
78,2024-03-19,0.2,2.0,london
79,2024-03-20,0.8,6.0,london
80,2024-03-21,0.0,0.0,london
81,2024-03-22,0.4,2.0,london
82,2024-03-23,1.1,3.0,london
83,2024-03-24,0.0,0.0,london
84,2024-03-25,0.9,3.0,london
85,2024-03-26,10.9,8.0,london
86,2024-03-27,3.9,7.0,london
87,2024-03-28,10.2,14.0,london
88,2024-03-29,5.0,8.0,london
89,2024-03-30,0.0,0.0,london
90,2024-03-31,0.3,1.0,london
91,2024-04-01,6.0,10.0,london
92,2024-04-02,4.3,12.0,london
93,2024-04-03,0.7,4.0,london
94,2024-04-04,3.5,11.0,london
95,2024-04-05,5.5,15.0,london
96,2024-04-06,0.1,1.0,london
97,2024-04-07,0.0,0.0,london
98,2024-04-08,1.7,4.0,london
99,2024-04-09,0.5,4.0,london
100,2024-04-10,1.7,7.0,london
101,2024-04-11,0.4,4.0,london
102,2024-04-12,0.0,0.0,london
103,2024-04-13,0.0,0.0,london
104,2024-04-14,0.0,0.0,london
105,2024-04-15,4.6,7.0,london
106,2024-04-16,4.4,11.0,london
107,2024-04-17,0.5,3.0,london
108,2024-04-18,0.9,4.0,london
109,2024-04-19,1.2,5.0,london
110,2024-04-20,0.2,2.0,london
111,2024-04-21,0.0,0.0,london
112,2024-04-22,1.0,6.0,london
113,2024-04-23,1.5,11.0,london
114,2024-04-24,0.0,0.0,london
115,2024-04-25,4.2,11.0,london
116,2024-04-26,0.0,0.0,london
